Policyholder ID,Policy Start Date,Policy Expiry Date,Policy Type,Region
1001,1/1/2025,1/1/2026,Auto,California
1002,2/15/2025,2/15/2026,General Liability,Texas
1003,3/20/2025,3/20/2026,Auto,New York
1004,1/10/2025,1/10/2026,General Liability,Florida
1005,2/28/2025,2/28/2026,Auto,Illinois
1006,3/15/2025,3/15/2026,General Liability,Ohio
1007,1/18/2025,1/18/2026,General Liability,California
1008,2/22/2025,2/22/2026,General Liability,California
1009,3/10/2025,3/10/2026,General Liability,Pennsylvania
1010,1/25/2025,1/25/2026,General Liability,Arizona
1011,2/5/2025,2/5/2026,Auto,Michigan
1012,3/2/2025,3/2/2026,General Liability,Nevada
1013,1/30/2025,1/30/2026,General Liability,Virginia
1014,2/12/2025,2/12/2026,Auto,Colorado
1015,3/18/2025,3/18/2026,General Liability,North Carolina
1016,1/15/2025,1/15/2026,General Liability,Massachusetts
1017,2/25/2025,2/25/2026,Auto,New Jersey
1018,3/12/2025,3/12/2026,General Liability,Oregon
1019,1/20/2025,1/20/2026,General Liability,Tennessee
1020,2/8/2025,2/8/2026,General Liability,Indiana
1021,3/5/2025,3/5/2026,Auto,New York
1022,1/28/2025,1/28/2026,General Liability,Alabama
1023,2/14/2025,2/14/2026,Auto,Maryland
1024,3/25/2025,3/25/2026,General Liability,California
1025,1/12/2025,1/12/2026,General Liability,Minnesota
1026,2/20/2025,2/20/2026,Auto,Wisconsin
1027,3/17/2025,3/17/2026,General Liability,Oklahoma
1028,1/23/2025,1/23/2026,General Liability,South Carolina
1029,2/10/2025,2/10/2026,Auto,New York
1030,3/8/2025,3/8/2026,General Liability,Nevada
1031,1/14/2025,1/14/2026,General Liability,Iowa
1032,2/18/2025,2/18/2026,Auto,Utah
1033,3/14/2025,3/14/2026,General Liability,California
1034,1/22/2025,1/22/2026,General Liability,Louisiana
1035,2/24/2025,2/24/2026,Auto,Utah
1036,3/11/2025,3/11/2026,General Liability,West Virginia
1037,1/21/2025,1/21/2026,General Liability,Nebraska
1038,2/13/2025,2/13/2026,Auto,New York
1039,3/6/2025,3/6/2026,General Liability,Texas
1040,1/31/2025,1/31/2026,General Liability,Montana
1041,2/3/2025,2/3/2026,General Liability,Hawaii
1042,3/18/2025,3/18/2026,Auto,North Dakota
1043,1/19/2025,1/19/2026,General Liability,South Dakota
1044,2/21/2025,2/21/2026,Auto,New York
1045,1/14/2025,1/14/2026,General Liability,California
1046,2/18/2025,2/18/2026,General Liability,Texas
1047,3/14/2025,3/14/2026,Auto,New York
1048,1/22/2025,1/22/2026,General Liability,Florida
1049,2/24/2025,2/24/2026,General Liability,Illinois
1050,1/21/2025,1/21/2026,General Liability,California
